epoch,layer,grad_norm
1,stem.0,0.14169692993164062
1,blocks.0.conv1,0.0990300253033638
1,blocks.0.conv2,0.08707411587238312
1,blocks.1.conv1,0.08083302527666092
1,blocks.1.conv2,0.06871724128723145
1,blocks.2.conv1,0.05311690270900726
1,blocks.2.conv2,0.04885000362992287
1,blocks.3.conv1,0.04764185845851898
1,blocks.3.conv2,0.048043712973594666
1,mean_conv2d_grad_norm,0.07500042393803596
2,stem.0,0.7133183479309082
2,blocks.0.conv1,0.6541261076927185
2,blocks.0.conv2,0.6675864458084106
2,blocks.1.conv1,0.5852367281913757
2,blocks.1.conv2,0.5634834170341492
2,blocks.2.conv1,0.5294018983840942
2,blocks.2.conv2,0.43147677183151245
2,blocks.3.conv1,0.3640698790550232
2,blocks.3.conv2,0.31536388397216797
2,mean_conv2d_grad_norm,0.5360070533222623
3,stem.0,0.6054131984710693
3,blocks.0.conv1,0.4832078516483307
3,blocks.0.conv2,0.5304760336875916
3,blocks.1.conv1,0.5420713424682617
3,blocks.1.conv2,0.5009087920188904
3,blocks.2.conv1,0.4839784502983093
3,blocks.2.conv2,0.43072381615638733
3,blocks.3.conv1,0.3696189820766449
3,blocks.3.conv2,0.3765929937362671
3,mean_conv2d_grad_norm,0.4803323845068614
4,stem.0,0.474800705909729
4,blocks.0.conv1,0.5292059779167175
4,blocks.0.conv2,0.5248177647590637
4,blocks.1.conv1,0.48541608452796936
4,blocks.1.conv2,0.4167463183403015
4,blocks.2.conv1,0.3718841075897217
4,blocks.2.conv2,0.3011845350265503
4,blocks.3.conv1,0.2582339346408844
4,blocks.3.conv2,0.2259669452905655
4,mean_conv2d_grad_norm,0.39869515266683364
5,stem.0,0.284527063369751
5,blocks.0.conv1,0.4068703055381775
5,blocks.0.conv2,0.4309789538383484
5,blocks.1.conv1,0.43841126561164856
5,blocks.1.conv2,0.3737947642803192
5,blocks.2.conv1,0.34298163652420044
5,blocks.2.conv2,0.2876851558685303
5,blocks.3.conv1,0.24259179830551147
5,blocks.3.conv2,0.2083595097064972
