epoch,layer,grad_norm
1,stem.0,0.4735734462738037
1,blocks.0.conv1,0.7064443230628967
1,blocks.0.conv2,0.6866703629493713
1,blocks.1.conv1,0.9379768371582031
1,blocks.1.conv2,0.8595578670501709
1,blocks.2.conv1,1.183722734451294
1,blocks.2.conv2,0.9239040613174438
1,blocks.3.conv1,0.8738219141960144
1,blocks.3.conv2,1.0584325790405273
1,blocks.4.conv1,0.9696365594863892
1,blocks.4.conv2,0.9407557249069214
1,blocks.5.conv1,0.825722336769104
1,blocks.5.conv2,0.8566501140594482
1,blocks.6.conv1,0.9119611382484436
1,blocks.6.conv2,0.806797981262207
1,blocks.7.conv1,0.9245136380195618
1,blocks.7.conv2,1.012819528579712
1,blocks.8.conv1,1.6843488216400146
1,blocks.8.conv2,1.5100958347320557
1,blocks.9.conv1,1.1514418125152588
1,blocks.9.conv2,1.2808005809783936
1,blocks.10.conv1,1.9607043266296387
1,blocks.10.conv2,2.3535025119781494
1,blocks.11.conv1,2.7194433212280273
1,blocks.11.conv2,5.314378261566162
1,blocks.12.conv1,5.070676803588867
1,blocks.12.conv2,4.781615257263184
1,blocks.13.conv1,8.486502647399902
1,blocks.13.conv2,9.990588188171387
1,blocks.14.conv1,13.011274337768555
1,blocks.14.conv2,15.231051445007324
1,blocks.15.conv1,15.291998863220215
1,blocks.15.conv2,14.901358604431152
1,blocks.16.conv1,17.687170028686523
1,blocks.16.conv2,19.780006408691406
1,blocks.17.conv1,19.461231231689453
1,blocks.17.conv2,18.44705581665039
1,blocks.18.conv1,20.926143646240234
1,blocks.18.conv2,18.459854125976562
1,blocks.19.conv1,16.946002960205078
1,blocks.19.conv2,15.551291465759277
1,blocks.20.conv1,15.187191009521484
1,blocks.20.conv2,12.721755981445312
1,blocks.21.conv1,9.621345520019531
1,blocks.21.conv2,8.686918258666992
1,blocks.22.conv1,7.314643859863281
1,blocks.22.conv2,6.31541633605957
1,blocks.23.conv1,5.664857864379883
1,blocks.23.conv2,5.34065580368042
1,blocks.24.conv1,4.3195672035217285
1,blocks.24.conv2,3.9689791202545166
1,blocks.25.conv1,3.568053722381592
1,blocks.25.conv2,2.8764007091522217
1,blocks.26.conv1,2.700629234313965
1,blocks.26.conv2,2.18448805809021
1,blocks.27.conv1,1.802712082862854
1,blocks.27.conv2,1.463191270828247
1,blocks.28.conv1,1.1989885568618774
1,blocks.28.conv2,1.0841578245162964
1,blocks.29.conv1,1.030138611793518
1,blocks.29.conv2,0.9150364398956299
1,blocks.30.conv1,0.7734389901161194
1,blocks.30.conv2,0.6565413475036621
1,blocks.31.conv1,0.5581122636795044
1,blocks.31.conv2,0.5075704455375671
1,blocks.32.conv1,0.4656111001968384
1,blocks.32.conv2,0.43028220534324646
1,blocks.33.conv1,0.35650134086608887
1,blocks.33.conv2,0.333095908164978
1,blocks.34.conv1,0.24596145749092102
1,blocks.34.conv2,0.20718978345394135
1,blocks.35.conv1,0.17727455496788025
1,blocks.35.conv2,0.14796850085258484
1,blocks.36.conv1,0.13156992197036743
1,blocks.36.conv2,0.1155451238155365
1,blocks.37.conv1,0.10287997871637344
1,blocks.37.conv2,0.09066926687955856
1,blocks.38.conv1,0.07880046963691711
1,blocks.38.conv2,0.0636574774980545
1,blocks.39.conv1,0.0552128441631794
1,blocks.39.conv2,0.043943557888269424
1,blocks.40.conv1,0.03734559938311577
1,blocks.40.conv2,0.036378949880599976
1,blocks.41.conv1,0.02892765775322914
1,blocks.41.conv2,0.026347322389483452
1,blocks.42.conv1,0.021932058036327362
1,blocks.42.conv2,0.0191099401563406
1,blocks.43.conv1,0.016513679176568985
1,blocks.43.conv2,0.01370244100689888
1,blocks.44.conv1,0.012213518843054771
1,blocks.44.conv2,0.010066342540085316
1,blocks.45.conv1,0.00897662341594696
1,blocks.45.conv2,0.008104532025754452
1,blocks.46.conv1,0.008053012192249298
1,blocks.46.conv2,0.006502804812043905
1,blocks.47.conv1,0.005706571973860264
1,blocks.47.conv2,0.005868642590939999
1,blocks.48.conv1,0.007351738400757313
1,blocks.48.conv2,0.008798018097877502
1,blocks.49.conv1,0.014663471840322018
1,blocks.49.conv2,0.021619737148284912
1,mean_conv2d_grad_norm,3.6710557932412198
2,stem.0,0.613217294216156
2,blocks.0.conv1,0.5794239044189453
2,blocks.0.conv2,0.5206167697906494
2,blocks.1.conv1,0.492566853761673
2,blocks.1.conv2,0.30189698934555054
2,blocks.2.conv1,0.3539385199546814
2,blocks.2.conv2,0.508901834487915
2,blocks.3.conv1,0.5801668167114258
2,blocks.3.conv2,0.7778492569923401
2,blocks.4.conv1,0.7550767660140991
2,blocks.4.conv2,1.0611259937286377
2,blocks.5.conv1,0.8151127099990845
2,blocks.5.conv2,0.9130789041519165
2,blocks.6.conv1,0.6189507246017456
2,blocks.6.conv2,0.2906855046749115
2,blocks.7.conv1,0.27166303992271423
2,blocks.7.conv2,0.24949154257774353
2,blocks.8.conv1,0.12865272164344788
2,blocks.8.conv2,0.12776312232017517
2,blocks.9.conv1,0.07910695672035217
2,blocks.9.conv2,0.06734839081764221
2,blocks.10.conv1,0.07382483780384064
2,blocks.10.conv2,0.06229265034198761
2,blocks.11.conv1,0.06805083155632019
2,blocks.11.conv2,0.07167517393827438
2,blocks.12.conv1,0.10834530740976334
2,blocks.12.conv2,0.10453936457633972
2,blocks.13.conv1,0.14282846450805664
2,blocks.13.conv2,0.11691749840974808
2,blocks.14.conv1,0.15244068205356598
2,blocks.14.conv2,0.09271545708179474
2,blocks.15.conv1,0.054241374135017395
2,blocks.15.conv2,0.029131077229976654
2,blocks.16.conv1,0.04878532141447067
2,blocks.16.conv2,0.011677626520395279
2,blocks.17.conv1,0.007033723406493664
2,blocks.17.conv2,0.008617840707302094
2,blocks.18.conv1,0.01203220896422863
2,blocks.18.conv2,0.02253955416381359
2,blocks.19.conv1,0.009858697652816772
2,blocks.19.conv2,0.012660179287195206
2,blocks.20.conv1,0.01078098826110363
2,blocks.20.conv2,0.02309499867260456
2,blocks.21.conv1,0.014923471957445145
2,blocks.21.conv2,0.01725158840417862
2,blocks.22.conv1,0.015940923243761063
2,blocks.22.conv2,0.016747361049056053
2,blocks.23.conv1,0.019118398427963257
2,blocks.23.conv2,0.011321174912154675
2,blocks.24.conv1,0.009782535023987293
2,blocks.24.conv2,0.011353224515914917
2,blocks.25.conv1,0.009620610624551773
2,blocks.25.conv2,0.007201033644378185
2,blocks.26.conv1,0.007174299098551273
2,blocks.26.conv2,0.012523898854851723
2,blocks.27.conv1,0.016522200778126717
2,blocks.27.conv2,0.01757173240184784
2,blocks.28.conv1,0.01434069499373436
2,blocks.28.conv2,0.01594112627208233
2,blocks.29.conv1,0.019538192078471184
2,blocks.29.conv2,0.02928827330470085
2,blocks.30.conv1,0.09394122660160065
2,blocks.30.conv2,0.04311874508857727
2,blocks.31.conv1,0.05822883918881416
2,blocks.31.conv2,0.07029672712087631
2,blocks.32.conv1,0.07531178742647171
2,blocks.32.conv2,0.08374706655740738
2,blocks.33.conv1,0.08557834476232529
2,blocks.33.conv2,0.06470774114131927
2,blocks.34.conv1,0.05247746407985687
2,blocks.34.conv2,0.049050647765398026
2,blocks.35.conv1,0.05896281823515892
2,blocks.35.conv2,0.05520661920309067
2,blocks.36.conv1,0.06853919476270676
2,blocks.36.conv2,0.07269448041915894
2,blocks.37.conv1,0.08059271425008774
2,blocks.37.conv2,0.0787469670176506
2,blocks.38.conv1,0.09597958624362946
2,blocks.38.conv2,0.09432009607553482
2,blocks.39.conv1,0.09934590756893158
2,blocks.39.conv2,0.09498335421085358
2,blocks.40.conv1,0.10893915593624115
2,blocks.40.conv2,0.11546765267848969
2,blocks.41.conv1,0.09831225126981735
2,blocks.41.conv2,0.09722759574651718
2,blocks.42.conv1,0.08372416347265244
2,blocks.42.conv2,0.09758716821670532
2,blocks.43.conv1,0.09170494973659515
2,blocks.43.conv2,0.07906888425350189
2,blocks.44.conv1,0.10309386998414993
2,blocks.44.conv2,0.08348023891448975
2,blocks.45.conv1,0.09246854484081268
2,blocks.45.conv2,0.07467323541641235
2,blocks.46.conv1,0.06075964495539665
2,blocks.46.conv2,0.05572899803519249
2,blocks.47.conv1,0.06198747083544731
2,blocks.47.conv2,0.05833698809146881
2,blocks.48.conv1,0.053534045815467834
2,blocks.48.conv2,0.05585022643208504
2,blocks.49.conv1,0.05869327858090401
2,blocks.49.conv2,0.06445419043302536
2,mean_conv2d_grad_norm,0.14542378312769796
3,stem.0,0.26250413060188293
3,blocks.0.conv1,0.46881359815597534
3,blocks.0.conv2,0.3867266774177551
3,blocks.1.conv1,0.4242043197154999
3,blocks.1.conv2,0.2734973132610321
3,blocks.2.conv1,0.32918038964271545
3,blocks.2.conv2,0.19847828149795532
3,blocks.3.conv1,0.11377213150262833
3,blocks.3.conv2,0.2014591097831726
3,blocks.4.conv1,0.143541157245636
3,blocks.4.conv2,0.10540150851011276
3,blocks.5.conv1,0.13533632457256317
3,blocks.5.conv2,0.13167880475521088
3,blocks.6.conv1,0.1191016361117363
3,blocks.6.conv2,0.06725425273180008
3,blocks.7.conv1,0.09758926182985306
3,blocks.7.conv2,0.05564216524362564
3,blocks.8.conv1,0.06352976709604263
3,blocks.8.conv2,0.06140470877289772
3,blocks.9.conv1,0.0413830503821373
3,blocks.9.conv2,0.03188164904713631
3,blocks.10.conv1,0.03093922697007656
3,blocks.10.conv2,0.02936834655702114
3,blocks.11.conv1,0.03857618197798729
3,blocks.11.conv2,0.05292467027902603
3,blocks.12.conv1,0.054669514298439026
3,blocks.12.conv2,0.06593339890241623
3,blocks.13.conv1,0.03190434351563454
3,blocks.13.conv2,0.025938108563423157
3,blocks.14.conv1,0.01934163086116314
3,blocks.14.conv2,0.021172937005758286
3,blocks.15.conv1,0.024148760363459587
3,blocks.15.conv2,0.04609560966491699
3,blocks.16.conv1,0.03887277841567993
3,blocks.16.conv2,0.023234669119119644
3,blocks.17.conv1,0.016730789095163345
3,blocks.17.conv2,0.017609287053346634
3,blocks.18.conv1,0.023481475189328194
3,blocks.18.conv2,0.016337215900421143
3,blocks.19.conv1,0.016130736097693443
3,blocks.19.conv2,0.014214529655873775
3,blocks.20.conv1,0.013829972594976425
3,blocks.20.conv2,0.024380821734666824
3,blocks.21.conv1,0.020993424579501152
3,blocks.21.conv2,0.033478882163763046
3,blocks.22.conv1,0.031828057020902634
3,blocks.22.conv2,0.03568284958600998
3,blocks.23.conv1,0.02654402144253254
3,blocks.23.conv2,0.02980835735797882
3,blocks.24.conv1,0.041365187615156174
